deadline_ms,workload,policy,accuracy,macro_f1,anomaly_fn_rate,model_switch_rate,avg_host_latency_us,p95_host_latency_us,p99_host_latency_us,deadline_compliance,time_in_FAST,time_in_BALANCED,time_in_HIGH_FIDELITY,total_switches,evidence_category
20,LOW,DEADLINE_PRIORITY,0.7482142857142857,0.7562507244318081,0.0,8.928571428571429e-05,4.833654407205696,6.600000006073969,11.500537122041319,1.0,0.0,1.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
20,LOW,COMPUTE_PRIORITY,0.7482142857142857,0.7562507244318081,0.0,8.928571428571429e-05,4.65889510683891,5.80000005356851,9.043602283454199,1.0,0.0,1.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
20,MEDIUM,ACCURACY_PRIORITY,0.751875,0.7390479285714084,0.002375,0.0,6.884735607751455,9.701394581352764,14.59382135331815,1.0,0.0,0.0,1.0,0,TRACE-DRIVEN HOST SIMULATION
20,MEDIUM,BALANCED,0.751875,0.7390479285714084,0.002375,0.0,6.874064787121201,9.226120644530322,15.562915642446855,1.0,0.0,0.0,1.0,0,TRACE-DRIVEN HOST SIMULATION
20,MEDIUM,DEADLINE_PRIORITY,0.7482142857142857,0.7562507244318081,0.0,8.928571428571429e-05,6.83251511667803,9.320801660872048,14.500589541800265,1.0,0.0,1.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
20,MEDIUM,COMPUTE_PRIORITY,0.7482142857142857,0.7562507244318081,0.0,8.928571428571429e-05,6.870936866858107,9.22891217803875,15.96596513815506,1.0,0.0,1.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
20,HIGH,ACCURACY_PRIORITY,0.751875,0.7390479285714084,0.002375,0.0,14.200124318349058,21.73059781243849,40.94293464279875,1.0,0.0,0.0,1.0,0,TRACE-DRIVEN HOST SIMULATION
20,HIGH,BALANCED,0.7482142857142857,0.7562507244318081,0.0,8.928571428571429e-05,14.0384450104738,22.629212968385776,36.197200347669245,1.0,0.0,1.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
20,HIGH,DEADLINE_PRIORITY,0.7482142857142857,0.7562507244318081,0.0,8.928571428571429e-05,13.902659064694802,20.381406523902598,30.24203936754662,1.0,0.0,1.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
20,HIGH,COMPUTE_PRIORITY,0.7482142857142857,0.7562507244318081,0.0,8.928571428571429e-05,13.264162998572704,19.379690777790447,30.794125315510612,1.0,0.0,1.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
20,BURST,ACCURACY_PRIORITY,0.751875,0.7390479285714084,0.002375,0.0,22.94388771580239,37.26523027268759,53.79509748813753,1.0,0.0,0.0,1.0,0,TRACE-DRIVEN HOST SIMULATION
20,BURST,BALANCED,0.7482142857142857,0.7562507244318081,0.0,8.928571428571429e-05,23.612318631872686,39.35200072485497,65.87742233489756,1.0,0.0,1.0,0.0,1,TRACE-DRIVEN HOST SIMULATION
